index	name	station	fc	amplitude	type	basin	wtype	magnitude	depth	latitude	longitude	azimuth	slatitude	slongitude	PGAtoth	PGAtotv	PGVtoth	PGVtotv	PGDtoth	PGDtotv	RMSh	RMSv	CAVh	CAVv	Ecumh	Ecumv	t_5_95h_1	t_5_95h_2	t_5_95v_1	t_5_95v_2	Tdh	Tdv	ariash	ariasv	PredPSa_h	PredPeriod_h	SI_h	PredPSa_v	SI_v	PredPSa_hw	PredPeriod_hw	SI_hw	PredPSa_vw	PredPeriod_vw	SI_vw	Tmh	Fmh	Tmv	Fmv	Peak Period controlled by	PSa difference	SI difference
11197	1999_10_16	14872	0.32	0.62	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.39	33.87	118.18	17.0257162	4.805513088	12.64393679	2.170416617	12.48637188	1.78249475	3.411420716	0.811683616	364.4085429	87.66125405	2484.668493	140.6602704	67.83333333	130.8333333	70.16666667	141.1666667	63.16666667	71.16666667	397.8499635	22.52279674	60.72151098	0.71	92.46093543	15.01334788	22.15660294	60.96009063	0.7	96.61196409	17.41382666	2.38	24.86118189	1.620805358	0.939102912	2.167905878	0.675576352	Body	0.238579652	1.044894946
12096	2019_07_06	24806	0.34	0.65	Ret	Los_Angeles	Rayleigh	7.1	8	35.77	-117.6	4.825	34.22	118.57	17.0538034	7.987037441	5.945418181	2.331451873	4.68577092	1.51590928	2.544938685	1.054162651	309.1902337	128.4511587	1570.602912	269.4802873	93.5	155.1666667	80.16666667	153.6666667	61.83333334	73.66666667	251.4880005	43.14970901	69.21461724	1.17	84.76630008	27.52994729	39.19854	73.23769563	0.99	92.85858392	30.99892177	2.05	47.08970443	1.356918227	0.978325522	1.607994782	0.82181447	Surface	4.023078392	1.095465814
11167	Tohoku	CHB021	0.13	1.94	Pro	Kanto	Rayleigh	9	24	38.1	142.86	4.774	34.91	139.9	17.09215333	11.20823867	9.129461133	6.843021867	17.37954699	8.1804071	2.037467916	1.436192875	511.3725467	349.6910337	2239.8207	1112.902793	207.9	350.25	217.35	318.9	142.5	101.7	358.6444576	178.2001651	62.77614041	0.6	90.00351452	51.99584902	68.83567635	60.74912265	2.34	100.4964348	54.13365221	1.86	71.30759432	1.215576375	1.373988401	1.833556831	0.692848418	Surface	-2.027017762	1.116583451
11168	Tohoku	CHB021	0.13	1.94	Ret	Kanto	Rayleigh	9	24	38.1	142.86	1.632	34.91	139.9	17.09215333	11.20823867	9.129461133	6.843021867	17.37954699	8.1804071	2.037467916	1.436192875	511.3725467	349.6910337	2239.8207	1112.902793	207.9	350.25	217.35	318.9	142.5	101.7	358.6444576	178.2001651	62.77614041	0.6	90.00351452	51.99584902	68.83567635	60.74912265	2.34	100.4964348	54.13365221	1.86	71.30759432	1.215576375	1.373988401	1.833556831	0.692848418	Surface	-2.027017762	1.116583451
11192	1999_10_16	14847	0.2	0.53	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.376	33.83	118.22	17.12194672	4.75355861	10.60136481	3.029934539	9.96257902	2.0001029	3.167762588	0.915521378	326.7949069	92.75049966	2042.065523	170.5695101	68.16666667	129.3333333	72.16666667	131	61.33333333	59	326.979513	27.31192252	58.6548053	1.17	94.59041783	23.13383222	26.41407586	71.96822413	2.42	111.5468393	23.30829441	2.36	28.41566178	1.652438638	0.815205214	2.114811337	0.683758721	Surface	13.31341884	1.179261514
11201	2011_03_11	TKY006	0.3	0.71	Ret	Kanto	Rayleigh	6.1	27	37.42	141.32	4.906	35.7	139.5	17.44799156	8.196448444	7.0898394	2.530865867	4.38415655	1.52786962	2.275513049	1.259366318	513.3102579	300.4856128	2079.209692	636.8597148	95.25	257.55	89.85	273.9	162.45	184.2	332.9271097	101.9752192	49.88955743	0.78	79.75129197	29.17190174	42.48927467	52.90921128	0.78	86.50589748	31.22471368	0.94	48.45377585	1.566202963	1.050569777	1.74945871	0.85722222	Body	3.01965385	1.084695876
11206	1999_10_16	23895	0.52	0.42	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.12	34.08	117.67	17.51894822	7.266910389	5.841301203	1.47737451	5.58822663	0.48459605	2.047235378	0.97656571	163.7304153	83.36479981	819.3742775	186.4445583	80.5	113.8333333	66.83333333	116.1666667	33.5	49.50000001	131.1998069	29.85386619	56.48273349	0.51	70.23203855	25.70524049	30.32783388	58.97129731	1.33	93.09126896	32.53472492	1.28	40.33976774	1.413689703	1.118490275	0.907531145	1.450291295	Surface	2.488563813	1.325481516
11163	1999_10_16	13888	0.28	0.33	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.483	33.82	117.85	17.5497293	6.211111432	9.256768975	2.00176142	10.14565623	1.37061075	2.552134913	1.03205219	225.0357605	94.40405331	1338.502209	218.8845735	80.66666667	115.8333333	73.83333333	118.1666667	35.33333333	44.50000001	214.3235834	35.04822468	51.85883426	0.81	86.46981211	21.64666765	37.26597142	50.9125458	0.81	88.44366862	39.37521813	1.24	51.35952963	1.847085641	0.879998806	1.623325312	0.887951525	Body	-0.946288455	1.022827117
11173	1999_10_16	14368	0.45	0.34	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.575	33.92	118.17	17.87297725	3.735862771	13.89448682	2.155764137	12.84691775	1.47425031	3.391942298	0.692416095	324.3711355	71.92435032	2341.323011	97.56605176	70.16666667	114.8333333	68.66666667	136.6666667	44.83333333	68.16666667	374.8972055	15.62246643	62.17750398	1.05	92.77173093	13.10145962	20.03285966	65.45974707	1.06	103.8605624	14.4060955	2.06	23.58435161	1.832403334	0.847488812	1.85612645	0.846655881	Body	3.282243094	1.119528129
11227	2007_07_16	CHB001	0.16	0.52	Pro	Kanto	Rayleigh	6.8	17	37.56	138.61	2.446	35.96	139.87	17.93539511	4.416109333	5.053657667	1.231114867	1.81669917	0.41176728	1.509576657	0.498248525	231.977393	98.00050607	935.5702417	101.9196913	157.5	243	139.5	267.75	85.65	128.4	149.8053312	16.31957968	65.28759004	1.44	98.75975276	17.43472435	22.66067388	67.58644698	1.45	103.572536	17.14712412	1.19	23.06406316	1.560035881	0.806764115	1.54947408	0.85467376	Surface	2.298856942	1.048732233
